N_source_obs,N_obs,sigma_N,SX,sigma_SX,kappa_obs
10,0.0,1.0,11.0,3.3166247903554,0.002122908457987993
7,0.0,1.0,16.0,4.0,0.10387395760742853
7,0.0,1.0,12.0,3.4641016151377544,-0.10004608524783722
12,0.0,1.0,16.0,4.0,0.034506591119147355
8,0.0,1.0,20.0,4.47213595499958,-0.07905283801183711
7,1.0,1.0,12.0,3.4641016151377544,0.03305562295234672
9,10.0,3.1622776601683795,18.0,4.242640687119285,0.13551468205364428
8,18.0,4.242640687119285,29.0,5.385164807134504,0.15545050154020001
6,29.0,5.385164807134504,30.0,5.477225575051661,0.24570875427968655
10,24.0,4.898979485566356,36.0,6.0,0.27409450437141536
4,36.0,6.0,71.0,8.426149773176359,0.44114607548621043
8,49.0,7.0,91.0,9.539392014169456,0.37473047683855903
5,48.0,6.928203230275509,97.0,9.848857801796104,0.4737822494935273
4,18.0,4.242640687119285,75.0,8.660254037844387,0.4326343370920129
4,12.0,3.4641016151377544,52.0,7.211102550927978,0.32629496112864054
9,8.0,2.8284271247461903,51.0,7.14142842854285,0.07094458614398634
4,6.0,2.449489742783178,40.0,6.324555320336759,0.10865402771116
8,2.0,1.4142135623730951,35.0,5.916079783099616,0.0008640509459527865
9,1.0,1.0,38.0,6.164414002968976,0.14087027419441456
7,2.0,1.4142135623730951,42.0,6.48074069840786,0.3470834524232588
5,6.0,2.449489742783178,50.0,7.0710678118654755,0.06704933690076013
4,14.0,3.7416573867739413,40.0,6.324555320336759,0.16546652640072912
13,13.0,3.605551275463989,43.0,6.557438524302,0.6429824221066957
5,23.0,4.795831523312719,19.0,4.358898943540674,0.26790428939594707
14,23.0,4.795831523312719,19.0,4.358898943540674,0.35907320843672247
7,10.0,3.1622776601683795,17.0,4.123105625617661,0.2673991126714562
13,6.0,2.449489742783178,13.0,3.605551275463989,0.321279854301441
13,2.0,1.4142135623730951,15.0,3.872983346207417,0.06216909642070997
10,0.0,1.0,9.0,3.0,0.08829551425287306
8,1.0,1.0,12.0,3.4641016151377544,0.07503378980456248
13,0.0,1.0,6.0,2.449489742783178,-0.008233494055793256
5,0.0,1.0,5.0,2.23606797749979,0.07473093906899089
3,0.0,1.0,9.0,3.0,-0.06908806108147117
